title,description,director,year,actors,categories
The Departed,"title: The Departed ,Description: An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",Martin Scorsese,2006,"['leonardo dicaprio', ' matt damon', ' jack nicholson', ' mark wahlberg']","['crime', 'drama', 'thriller']"
Legend,"title: Legend ,Description: Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.",Brian Helgeland,2015,"['tom hardy', ' emily browning', ' taron egerton', ' paul anderson']","['biography', 'crime', 'drama']"
Thor,"title: Thor ,Description: The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,2011,"['chris hemsworth', ' anthony hopkins', ' natalie portman', ' tom hiddleston']","['action', 'adventure', 'fantasy']"
The Martian,"title: The Martian ,Description: An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,2015,"['matt damon', ' jessica chastain', ' kristen wiig', ' kate mara']","['adventure', 'drama', 'sci-fi']"
Contratiempo,"title: Contratiempo ,Description: A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.",Oriol Paulo,2016,"['mario casas', ' ana wagener', ' josé coronado', ' bárbara lennie']","['crime', 'mystery', 'thriller']"
The Man from U.N.C.L.E.,"title: The Man from U.N.C.L.E. ,Description: In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",Guy Ritchie,2015,"['henry cavill', ' armie hammer', ' alicia vikander', ' elizabeth debicki']","['action', 'adventure', 'comedy']"
Hell or High Water,"title: Hell or High Water ,Description: A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.",David Mackenzie,2016,"['chris pine', ' ben foster', ' jeff bridges', ' gil birmingham']","['crime', 'drama', 'thriller']"
The Comedian,"title: The Comedian ,Description: A look at the life of an aging insult comic named Jack Burke.",Taylor Hackford,2016,"['robert de niro', ' leslie mann', ' danny devito', ' edie falco']",['comedy']
The Legend of Tarzan,"title: The Legend of Tarzan ,Description: Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",David Yates,2016,"['alexander skarsgård', ' rory j. saper', ' christian stevens', ' christoph waltz']","['action', 'adventure', 'drama']"
All We Had,"title: All We Had ,Description: A mother struggles to make a better life for her daughter.",Katie Holmes,2016,"['eve lindley', ' richard kind', ' mark consuelos', ' katherine reis']",['drama']
Ex Machina,"title: Ex Machina ,Description: A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.",Alex Garland,2014,"['alicia vikander', ' domhnall gleeson', ' oscar isaac', 'sonoya mizuno']","['drama', 'mystery', 'sci-fi']"
The Belko Experiment,"title: The Belko Experiment ,Description: In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",Greg McLean,2016,"['john gallagher jr.', ' tony goldwyn', ' adria arjona', ' john c. mcginley']","['action', 'horror', 'thriller']"
12 Years a Slave,"title: 12 Years a Slave ,Description: In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,2013,"['chiwetel ejiofor', ' michael kenneth williams', ' michael fassbender', ' brad pitt']","['biography', 'drama', 'history']"
The Bad Batch,"title: The Bad Batch ,Description: A dystopian love story in a Texas wasteland and set in a community of cannibals.",Ana Lily Amirpour,2016,"['keanu reeves', ' jason momoa', ' jim carrey', ' diego luna']","['romance', 'sci-fi']"
300,"title: 300 ,Description: King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.",Zack Snyder,2006,"['gerard butler', ' lena headey', ' david wenham', ' dominic west']","['action', 'fantasy', 'war']"
Harry Potter and the Deathly Hallows: Part 2,"title: Harry Potter and the Deathly Hallows: Part 2 ,Description: Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,2011,"['daniel radcliffe', ' emma watson', ' rupert grint', ' michael gambon']","['adventure', 'drama', 'fantasy']"
Office Christmas Party,"title: Office Christmas Party ,Description: When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,2016,"['jason bateman', ' olivia munn', ' t.j. miller', 'jennifer aniston']",['comedy']
The Neon Demon,"title: The Neon Demon ,Description: When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",Nicolas Winding Refn,2016,"['elle fanning', ' christina hendricks', ' keanu reeves', ' karl glusman']","['horror', 'thriller']"
Dangal,"title: Dangal ,Description: Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",Nitesh Tiwari,2016,"['aamir khan', ' sakshi tanwar', ' fatima sana shaikh', 'sanya malhotra']","['action', 'biography', 'drama']"
10 Cloverfield Lane,"title: 10 Cloverfield Lane ,Description: After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",Dan Trachtenberg,2016,"['john goodman', ' mary elizabeth winstead', ' john gallagher jr.', ' douglas m. griffin']","['drama', 'horror', 'mystery']"
Finding Dory,"title: Finding Dory ,Description: The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Andrew Stanton,2016,"['ellen degeneres', ' albert brooks', 'ed oneill', ' kaitlin olson']","['animation', 'adventure', 'comedy']"
Miss Peregrine's Home for Peculiar Children,"title: Miss Peregrine's Home for Peculiar Children ,Description: When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Tim Burton,2016,"['eva green', ' asa butterfield', ' samuel l. jackson', ' judi dench']","['adventure', 'drama', 'family']"
Divergent,"title: Divergent ,Description: In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Neil Burger,2014,"['shailene woodley', ' theo james', ' kate winslet', ' jai courtney']","['adventure', 'mystery', 'sci-fi']"
Mike and Dave Need Wedding Dates,"title: Mike and Dave Need Wedding Dates ,Description: Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",Jake Szymanski,2016,"['zac efron', ' adam devine', ' anna kendrick', ' aubrey plaza']","['adventure', 'comedy', 'romance']"
Boyka: Undisputed IV,"title: Boyka: Undisputed IV ,Description: In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.",Todor Chapkanov,2016,"['scott adkins', ' teodora duhovnikova', ' alon aboutboul', ' julian vergov']",['action']
The Dark Knight Rises,"title: The Dark Knight Rises ,Description: Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",Christopher Nolan,2012,"['christian bale', ' tom hardy', ' anne hathaway', 'gary oldman']","['action', 'thriller']"
The Jungle Book,"title: The Jungle Book ,Description: After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",Jon Favreau,2016,"['neel sethi', ' bill murray', ' ben kingsley', ' idris elba']","['adventure', 'drama', 'family']"
Transformers: Age of Extinction,"title: Transformers: Age of Extinction ,Description: Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",Michael Bay,2014,"['mark wahlberg', ' nicola peltz', ' jack reynor', ' stanley tucci']","['action', 'adventure', 'sci-fi']"
Nerve,"title: Nerve ,Description: A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",Henry Joost,2016,"['emma roberts', ' dave franco', ' emily meade', ' miles heizer']","['adventure', 'crime', 'mystery']"
Mamma Mia!,"title: Mamma Mia! ,Description: The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.",Phyllida Lloyd,2008,"['meryl streep', ' pierce brosnan', ' amanda seyfried', 'stellan skarsgård']","['comedy', 'family', 'musical']"
The Revenant,"title: The Revenant ,Description: A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.",Alejandro González Iñárritu,2015,"['leonardo dicaprio', ' tom hardy', ' will poulter', ' domhnall gleeson']","['adventure', 'drama', 'thriller']"
Fences,"title: Fences ,Description: A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",Denzel Washington,2016,"['denzel washington', ' viola davis', ' stephen henderson', ' jovan adepo']",['drama']
Into the Woods,"title: Into the Woods ,Description: A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.",Rob Marshall,2014,"['anna kendrick', ' meryl streep', ' chris pine', ' emily blunt']","['adventure', 'comedy', 'drama']"
The Shallows,"title: The Shallows ,Description: A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",Jaume Collet-Serra,2016,"['blake lively', ' óscar jaenada', ' angelo josue lozano corzo', ' brett cullen']","['drama', 'horror', 'thriller']"
